Breaker Rating,Load,Length,Hot Wire Size,Ground Wire Size,Poles,Voltage,Load Percent,Baseline Hot Wire Size,Hot Upsize Steps,Test Point Type,Status / Notes,Configuration,Hot Wire Quantity,Ground Wire Quantity,Parallel Sets,Wire Material,Wire Temperature,Base Ampacity,Voltage Drop %
15,9.0,1,#12,#12,1,120.0,60,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.02744460769224115
15,9.0,25,#12,#12,1,120.0,60,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.6861151923060288
15,9.0,50,#12,#12,1,120.0,60,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.3722303846120576
15,9.0,75,#12,#12,1,120.0,60,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,2.0583455769180867
15,9.0,100,#12,#12,1,120.0,60,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,2.744460769224115
15,9.0,125,#10,#10,1,120.0,60,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,2.0764894937705742
15,9.0,150,#10,#10,1,120.0,60,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,2.491787392524689
15,9.0,175,#10,#10,1,120.0,60,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,2.907085291278804
15,9.0,200,#8,#8,1,120.0,60,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.1909985293990433
15,9.0,225,#8,#8,1,120.0,60,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.464873345573924
15,9.0,250,#8,#8,1,120.0,60,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.7387481617488043
15,9.0,275,#6,#6,1,120.0,60,#12,3,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,65,1.934199932109474
15,9.0,300,#6,#6,1,120.0,60,#12,3,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,65,2.110036289573971
15,9.0,325,#6,#6,1,120.0,60,#12,3,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,65,2.2858726470384694
15,9.0,350,#6,#6,1,120.0,60,#12,3,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,65,2.4617090045029664
15,9.0,375,#6,#6,1,120.0,60,#12,3,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,65,2.6375453619674643
15,9.0,400,#6,#6,1,120.0,60,#12,3,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,65,2.813381719431962
15,10.5,1,#12,#12,1,120.0,70,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.03201870897428134
15,10.5,25,#12,#12,1,120.0,70,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.8004677243570336
15,10.5,50,#12,#12,1,120.0,70,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.6009354487140672
15,10.5,75,#12,#12,1,120.0,70,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,2.4014031730711007
15,10.5,100,#10,#10,1,120.0,70,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,1.9380568608525364
15,10.5,125,#10,#10,1,120.0,70,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,2.4225710760656702
15,10.5,150,#10,#10,1,120.0,70,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,2.907085291278804
15,10.5,175,#8,#8,1,120.0,70,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.236644332094857
15,10.5,200,#8,#8,1,120.0,70,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.5561649509655506
15,10.5,225,#8,#8,1,120.0,70,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.8756855698362447
15,10.5,250,#6,#6,1,120.0,70,#12,3,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,65,2.051424170419139
15,10.5,275,#6,#6,1,120.0,70,#12,3,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,65,2.256566587461053
15,10.5,300,#6,#6,1,120.0,70,#12,3,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,65,2.461709004502967
15,10.5,325,#6,#6,1,120.0,70,#12,3,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,65,2.6668514215448806
15,10.5,350,#6,#6,1,120.0,70,#12,3,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,65,2.8719938385867945
15,10.5,375,#4,#4,1,120.0,70,#12,4,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,85,2.0025691459019135
15,10.5,400,#4,#4,1,120.0,70,#12,4,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,85,2.136073755628708
15,12.0,1,#12,#12,1,120.0,80,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.03659281025632153
15,12.0,25,#12,#12,1,120.0,80,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,0.9148202564080382
15,12.0,50,#12,#12,1,120.0,80,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,1.8296405128160764
15,12.0,75,#12,#12,1,120.0,80,#12,0,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,25,2.7444607692241147
15,12.0,100,#10,#10,1,120.0,80,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,2.2149221266886125
15,12.0,125,#10,#10,1,120.0,80,#12,1,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,35,2.7686526583607654
15,12.0,150,#8,#8,1,120.0,80,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.190998529399043
15,12.0,175,#8,#8,1,120.0,80,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.5561649509655506
15,12.0,200,#8,#8,1,120.0,80,#12,2,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,50,2.921331372532058
15,12.0,225,#6,#6,1,120.0,80,#12,3,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,65,2.110036289573971
15,12.0,250,#6,#6,1,120.0,80,#12,3,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,65,2.3444847661933013
15,12.0,275,#6,#6,1,120.0,80,#12,3,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,65,2.5789332428126315
15,12.0,300,#6,#6,1,120.0,80,#12,3,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,65,2.8133817194319617
15,12.0,325,#4,#4,1,120.0,80,#12,4,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,85,1.9834970587980862
15,12.0,350,#4,#4,1,120.0,80,#12,4,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,85,2.1360737556287086
15,12.0,375,#4,#4,1,120.0,80,#12,4,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,85,2.28865045245933
15,12.0,400,#4,#4,1,120.0,80,#12,4,Coarse,OK,120 V / 1 pole,1,1,1,CU,75 C,85,2.4412271492899524
15,13.5,1,#12,#12,1,120.0,90,#12,0,Coarse,OK - HIGH: Circuit load current (13.5A) is within 90.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,25,0.041166911538361724
15,13.5,25,#12,#12,1,120.0,90,#12,0,Coarse,OK - HIGH: Circuit load current (13.5A) is within 90.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,25,1.0291727884590431
15,13.5,50,#12,#12,1,120.0,90,#12,0,Coarse,OK - HIGH: Circuit load current (13.5A) is within 90.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,25,2.0583455769180863
15,13.5,75,#10,#10,1,120.0,90,#12,1,Coarse,OK - HIGH: Circuit load current (13.5A) is within 90.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,35,1.8688405443935168
15,13.5,100,#10,#10,1,120.0,90,#12,1,Coarse,OK - HIGH: Circuit load current (13.5A) is within 90.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,35,2.491787392524689
15,13.5,125,#8,#8,1,120.0,90,#12,2,Coarse,OK - HIGH: Circuit load current (13.5A) is within 90.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,50,2.0540611213116033
15,13.5,150,#8,#8,1,120.0,90,#12,2,Coarse,OK - HIGH: Circuit load current (13.5A) is within 90.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,50,2.464873345573924
15,13.5,175,#8,#8,1,120.0,90,#12,2,Coarse,OK - HIGH: Circuit load current (13.5A) is within 90.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,50,2.8756855698362447
15,13.5,200,#6,#6,1,120.0,90,#12,3,Coarse,OK - HIGH: Circuit load current (13.5A) is within 90.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,65,2.110036289573971
15,13.5,225,#6,#6,1,120.0,90,#12,3,Coarse,OK - HIGH: Circuit load current (13.5A) is within 90.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,65,2.3737908257707176
15,13.5,250,#6,#6,1,120.0,90,#12,3,Coarse,OK - HIGH: Circuit load current (13.5A) is within 90.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,65,2.6375453619674643
15,13.5,275,#6,#6,1,120.0,90,#12,3,Coarse,OK - HIGH: Circuit load current (13.5A) is within 90.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,65,2.9012998981642104
15,13.5,300,#4,#4,1,120.0,90,#12,4,Coarse,OK - HIGH: Circuit load current (13.5A) is within 90.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,85,2.059785407213398
15,13.5,325,#4,#4,1,120.0,90,#12,4,Coarse,OK - HIGH: Circuit load current (13.5A) is within 90.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,85,2.231434191147847
15,13.5,350,#4,#4,1,120.0,90,#12,4,Coarse,OK - HIGH: Circuit load current (13.5A) is within 90.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,85,2.403082975082297
15,13.5,375,#4,#4,1,120.0,90,#12,4,Coarse,OK - HIGH: Circuit load current (13.5A) is within 90.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,85,2.574731759016747
15,13.5,400,#4,#4,1,120.0,90,#12,4,Coarse,OK - HIGH: Circuit load current (13.5A) is within 90.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,85,2.7463805429511967
15,15.0,1,#12,#12,1,120.0,100,#12,0,Coarse,OK - HIGH: Circuit load current (15.0A) is within 100.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,25,0.04574101282040192
15,15.0,25,#12,#12,1,120.0,100,#12,0,Coarse,OK - HIGH: Circuit load current (15.0A) is within 100.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,25,1.1435253205100477
15,15.0,50,#12,#12,1,120.0,100,#12,0,Coarse,OK - HIGH: Circuit load current (15.0A) is within 100.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,25,2.2870506410200955
15,15.0,75,#10,#10,1,120.0,100,#12,1,Coarse,OK - HIGH: Circuit load current (15.0A) is within 100.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,35,2.0764894937705742
15,15.0,100,#10,#10,1,120.0,100,#12,1,Coarse,OK - HIGH: Circuit load current (15.0A) is within 100.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,35,2.7686526583607654
15,15.0,125,#8,#8,1,120.0,100,#12,2,Coarse,OK - HIGH: Circuit load current (15.0A) is within 100.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,50,2.2822901347906703
15,15.0,150,#8,#8,1,120.0,100,#12,2,Coarse,OK - HIGH: Circuit load current (15.0A) is within 100.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,50,2.7387481617488043
15,15.0,175,#6,#6,1,120.0,100,#12,3,Coarse,OK - HIGH: Circuit load current (15.0A) is within 100.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,65,2.051424170419139
15,15.0,200,#6,#6,1,120.0,100,#12,3,Coarse,OK - HIGH: Circuit load current (15.0A) is within 100.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,65,2.3444847661933013
15,15.0,225,#6,#6,1,120.0,100,#12,3,Coarse,OK - HIGH: Circuit load current (15.0A) is within 100.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,65,2.6375453619674643
15,15.0,250,#6,#6,1,120.0,100,#12,3,Coarse,OK - HIGH: Circuit load current (15.0A) is within 100.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,65,2.930605957741627
15,15.0,275,#4,#4,1,120.0,100,#12,4,Coarse,OK - HIGH: Circuit load current (15.0A) is within 100.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,85,2.0979295814210532
15,15.0,300,#4,#4,1,120.0,100,#12,4,Coarse,OK - HIGH: Circuit load current (15.0A) is within 100.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,85,2.2886504524593305
15,15.0,325,#4,#4,1,120.0,100,#12,4,Coarse,OK - HIGH: Circuit load current (15.0A) is within 100.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,85,2.479371323497608
15,15.0,350,#4,#4,1,120.0,100,#12,4,Coarse,OK - HIGH: Circuit load current (15.0A) is within 100.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,85,2.6700921945358855
15,15.0,375,#4,#4,1,120.0,100,#12,4,Coarse,OK - HIGH: Circuit load current (15.0A) is within 100.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,85,2.860813065574163
15,15.0,400,#3,#3,1,120.0,100,#12,5,Coarse,OK - HIGH: Circuit load current (15.0A) is within 100.0% of User-specified breaker rating (15A),120 V / 1 pole,1,1,1,CU,75 C,100,2.5071750376688997
15,1.5,1,#12,#12,1,277.0,10,#12,0,Coarse,OK,277 V / 1 pole,1,1,1,CU,75 C,25,0.0019815601221834763
15,1.5,25,#12,#12,1,277.0,10,#12,0,Coarse,OK,277 V / 1 pole,1,1,1,CU,75 C,25,0.04953900305458691
15,1.5,50,#12,#12,1,277.0,10,#12,0,Coarse,OK,277 V / 1 pole,1,1,1,CU,75 C,25,0.09907800610917382
15,1.5,75,#12,#12,1,277.0,10,#12,0,Coarse,OK,277 V / 1 pole,1,1,1,CU,75 C,25,0.14861700916376072
15,1.5,100,#12,#12,1,277.0,10,#12,0,Coarse,OK,277 V / 1 pole,1,1,1,CU,75 C,25,0.19815601221834764
15,1.5,125,#12,#12,1,277.0,10,#12,0,Coarse,OK,277 V / 1 pole,1,1,1,CU,75 C,25,0.24769501527293455
15,1.5,150,#12,#12,1,277.0,10,#12,0,Coarse,OK,277 V / 1 pole,1,1,1,CU,75 C,25,0.29723401832752144
15,1.5,175,#12,#12,1,277.0,10,#12,0,Coarse,OK,277 V / 1 pole,1,1,1,CU,75 C,25,0.34677302138210836
15,1.5,200,#12,#12,1,277.0,10,#12,0,Coarse,OK,277 V / 1 pole,1,1,1,CU,75 C,25,0.3963120244366953
15,1.5,225,#12,#12,1,277.0,10,#12,0,Coarse,OK,277 V / 1 pole,1,1,1,CU,75 C,25,0.44585102749128225
